Untersuchung,Person,Kategorie,Priorität,Letzte Durchführung,Intervall in Monaten,Status,Kommentar
Gesundheits-Check-up,Mann,Hausarzt,sehr hoch,2023-05-15,36,offen,Allgemeiner Check-up ab 35 Jahren
Gesundheits-Check-up,Frau,Hausarzt,sehr hoch,2024-04-10,36,erledigt,Allgemeiner Check-up ab 35 Jahren
Blutdruckkontrolle,Mann,Herz-Kreislauf,sehr hoch,2025-11-20,6,offen,Regelmäßig kontrollieren lassen
Blutdruckkontrolle,Frau,Herz-Kreislauf,sehr hoch,2025-11-20,6,offen,Regelmäßig kontrollieren lassen
Blutwerte und Stoffwechsel,Mann,Hausarzt,hoch,2025-03-01,12,offen,Cholesterin Blutzucker Leber Niere
Blutwerte und Stoffwechsel,Frau,Hausarzt,hoch,2025-06-15,12,geplant,Cholesterin Blutzucker Schilddrüse
EKG und Herz-Risiko,Mann,Herz-Kreislauf,hoch,2024-02-20,24,offen,Besonders sinnvoll bei Risikofaktoren
Hautkrebs-Screening,Mann,Krebsfrüherkennung,sehr hoch,2023-09-01,24,offen,Ab 35 alle zwei Jahre
Hautkrebs-Screening,Frau,Krebsfrüherkennung,sehr hoch,2024-01-20,24,geplant,Ab 35 alle zwei Jahre
Darmkrebs-Früherkennung Koloskopie,Mann,Krebsfrüherkennung,sehr hoch,2016-06-10,120,offen,Koloskopie nach zehn Jahren wiederholen
Darmkrebs-Früherkennung Stuhltest,Frau,Krebsfrüherkennung,hoch,2025-08-05,12,offen,Jährlicher Test als Alternative
Mammographie,Frau,Krebsfrüherkennung,sehr hoch,2024-03-18,24,offen,Screening für Frauen von 50 bis 75
Gynäkologische Krebsfrüherkennung,Frau,Krebsfrüherkennung,sehr hoch,2025-05-12,12,erledigt,Jährlicher Termin
Prostata-Früherkennung,Mann,Krebsfrüherkennung,sehr hoch,2025-01-22,12,offen,Jährliche Früherkennung ab 45
Zahnkontrolle,Mann,Zahnarzt,hoch,2025-10-14,6,offen,Bonusheft pflegen
Zahnkontrolle,Frau,Zahnarzt,hoch,2025-12-10,6,offen,Bonusheft pflegen
Professionelle Zahnreinigung,Mann,Zahnarzt,optional,2025-09-15,12,offen,Optional je nach Bedarf und Kostenübernahme
Professionelle Zahnreinigung,Frau,Zahnarzt,optional,2025-09-15,12,offen,Optional je nach Bedarf und Kostenübernahme
Augenuntersuchung,Mann,Augenarzt,mittel,2024-11-01,24,offen,Sehschärfe Augeninnendruck Netzhaut
Augenuntersuchung,Frau,Augenarzt,mittel,2025-02-12,24,offen,Sehschärfe Augeninnendruck Netzhaut
Grippeimpfung,Mann,Impfung,hoch,2025-10-01,12,erledigt,Jährlich im Herbst
Grippeimpfung,Frau,Impfung,hoch,2025-10-01,12,erledigt,Jährlich im Herbst
COVID-19 Auffrischung,Mann,Impfung,mittel,2025-10-01,12,offen,Nach aktueller Empfehlung mit Arzt besprechen
COVID-19 Auffrischung,Frau,Impfung,mittel,2025-10-01,12,offen,Nach aktueller Empfehlung mit Arzt besprechen
Tetanus Diphtherie Pertussis,Mann,Impfung,hoch,2017-04-21,120,offen,Auffrischung alle zehn Jahre
Tetanus Diphtherie Pertussis,Frau,Impfung,hoch,2017-04-21,120,offen,Auffrischung alle zehn Jahre
Pneumokokken-Impfung,Mann,Impfung,hoch,2021-03-09,72,erledigt,Ab 60 empfohlen; Intervall mit Arzt klären
Knochendichtemessung,Frau,Zusatzdiagnostik,optional,2022-07-01,60,offen,Sinnvoll bei Osteoporose-Risiko
Bauchultraschall Aorta,Mann,Zusatzdiagnostik,mittel,2024-05-01,120,erledigt,Einmaliges Screening fuer Maenner ab 65 zeitnah planen
